mktime,co2,temp,humidity

 sensirion,sensor_id=310BA co2=1694.880371,temp=27.432671,humidity=57.409668 946684801
 sensirion,sensor_id=310BA co2=1686.911133,temp=27.419319,humidity=56.201172 946684806
 sensirion,sensor_id=310BA co2=1689.017090,temp=27.491417,humidity=55.963135 946684812
 sensirion,sensor_id=310BA co2=1670.051758,temp=27.518120,humidity=55.355835 946684817
 sensirion,sensor_id=310BA co2=1671.604004,temp=27.504768,humidity=54.678345 946684822
 sensirion,sensor_id=310BA co2=1689.755859,temp=27.531471,humidity=55.189514 946684827
 sensirion,sensor_id=310BA co2=1699.348145,temp=27.475395,humidity=55.056763 946684832
 sensirion,sensor_id=310BA co2=1702.220703,temp=27.518120,humidity=54.759216 946684837
 1698185998, 912.873535, 26.754410, 45.353699
 1698186018, 909.256104, 26.781113, 45.184326
 1698186039, 910.034424, 26.754410, 45.170593
 1698186059, 909.972168, 26.754410, 45.269775
 1698186080, 910.100586, 26.781113, 45.114136
 1698186100, 903.037598, 26.823837, 44.982910
 1698186121, 905.997314, 26.810486, 45.019531
 1698186141, 901.595703, 26.797134, 44.995117
 1698186162, 900.572754, 26.711678, 45.104980
 1698186182, 894.859375, 26.738380, 45.095825
 1698186203, 891.594482, 26.797134, 44.955444
 1698186223, 889.647705, 26.767761, 44.964600
 1698186244, 888.536377, 26.781113, 44.905090
 1698186264, 890.727051, 26.781113, 44.894409
 1698186285, 889.261719, 26.810486, 44.775391
 1698186305, 883.468750, 26.837189, 44.680786
 1698186326, 880.718750, 26.797134, 44.689941
 1698186346, 879.307861, 26.853210, 44.635010
 1698186367, 878.704346, 26.879913, 44.456482
 1698186387, 876.167236, 26.853210, 44.500732
 1698186408, 875.639893, 26.866562, 44.454956
 1698186431, 877.872803, 26.797134, 44.419861
 1698186451, 876.248047, 26.781113, 44.578552
 1698186472, 877.349854, 26.767761, 44.564819
 1698186492, 874.962402, 26.738380, 44.561768
 1698186513, 873.541748, 26.738380, 44.500732
 1698186533, 867.988281, 26.754410, 44.502258
 1698186554, 865.252197, 26.725029, 44.497681
 1698186574, 866.464111, 26.754410, 44.441223
 1698186595, 867.759766, 26.738380, 44.427490
 1698186615, 864.796143, 26.725029, 44.424438
 1698186636, 865.311035, 26.668953, 44.432068
 1698186656, 862.027344, 26.698326, 44.422913
 1698186677, 861.880615, 26.652931, 44.415283
 1698186697, 859.227783, 26.652931, 44.464111
